id,Outcome,Type_of_outcome,First_Author,publication_year,population,nationality,job_role,study_design,time_points,intervention,intervention_class,Comparison Group,n_intervention,n_control,effect_measure,effect_size,lower_ci,upper_ci,p_value,n_outcome_intervention_binary_beginning,n_outcome _intervention_binary_final,n_outcomes_binary_control_begin,n_outcomes_binary_control_end ,mean_continuous_intervention_begin ,mean_continuous_intervention_end ,mean_continuous_ctrl_begin,mean_continuous_ctrl_end,scale_metric_outcome,industry_setting,study_duration,assessed_quality 
Bretland_2015_4b,Personal Accomplishment,Personal Accomplishment enhancement,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,F value,6.49,not mentioned,not mentioned,p < .05,NA,NA,NA,NA,32.56,3.61 Change over 4 weeks,32.15,-1.44 Change over 4 weeks,TheMaslach Burnout Inventory - Personal Accomplishment,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_4a,Personal Accomplishment,Personal Accomplishment enhancement,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,t value,2.56,not mentioned,not mentioned,p < .05,NA,NA,NA,NA,32.56,3.61 Change over 4 weeks,32.15,-1.44 Change over 4 weeks,TheMaslach Burnout Inventory - Personal Accomplishment,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_3b,Depersonalization,Depersonalization reduction,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,F value,0.19,not mentioned,not mentioned,p > .05,NA,NA,NA,NA,8.89,-0.86 Change over 4 weeks,6.85,-1.22 Change over 4 weeks,TheMaslach Burnout Inventory - Depersonalization,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_3a,Depersonalization,Depersonalization reduction,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,t value,0.24,not mentioned,not mentioned,p > .05,NA,NA,NA,NA,8.89,-0.86 Change over 4 weeks,6.85,-1.22 Change over 4 weeks,TheMaslach Burnout Inventory - Depersonalization,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_2b,Emotional Exhaustion,Emotional Exhaustion reduction,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,F value,6.89,not mentioned,not mentioned,p < .05,NA,NA,NA,NA,25.56,-6.04 Change over 4 weeks,22.47,1.11 Change over 4 weeks,TheMaslach Burnout Inventory - Emotional Exhaustion,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_2a,Emotional Exhaustion,Emotional Exhaustion reduction,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,t value,-2.3,not mentioned,not mentioned,p < .05,NA,NA,NA,NA,25.56,-6.04 Change over 4 weeks,22.47,1.11 Change over 4 weeks,TheMaslach Burnout Inventory - Emotional Exhaustion,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_1b,Perceived Stres,Perceived Stres reduction,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,F value,9.9,not mentioned,not mentioned,p < .01,NA,NA,NA,NA,18.96,-5.46 Change over 4 weeks,18.25,0.5 Change over 4 weeks,Perceived Stress Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_1a,Perceived Stres,Perceived Stres reduction,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,t value,-2.53,not mentioned,not mentioned,p < .05,NA,NA,NA,NA,18.96,-5.46 Change over 4 weeks,18.25,0.5 Change over 4 weeks,Perceived Stress Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Sophie_2019_2b,Psychological distress - Dejpressive symptoms,Psychological distress - Dejpressive symptoms reduction,Sophie Bostock,2019,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",United Kingdom,onsite employees,randomized control trial,3,mindfulness meditation program delivered via a smartphone application,Secondary,Wait list control,Wave 1 = 128; Wave 2 = 123; Wave 3 = 105,Wave 1 = 110; Wave 2 = 106; Wave 3 = 81,Partial Eta squared,0.065,not mentioned,not mentioned,p = .0001,NA,NA,NA,NA,5.05,3.6,5.13,5.18,Hospital Anxiety and Depression Scale," two large United Kingdom companies - pharmaceutical firm, and a high-tech company",6 months,
Sophie_2019_2a,Psychological distress - Anxiety,Psychological distress Anxiety reduction,Sophie Bostock,2019,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",United Kingdom,onsite employees,randomized control trial,3,mindfulness meditation program delivered via a smartphone application,Secondary,Wait list control,Wave 1 = 128; Wave 2 = 123; Wave 3 = 105,Wave 1 = 110; Wave 2 = 106; Wave 3 = 81,Partial Eta squared,0.033,not mentioned,not mentioned,p = .006,NA,NA,NA,NA,9.13,7.44,9.36,8.86,Hospital Anxiety and Depression Scale," two large United Kingdom companies - pharmaceutical firm, and a high-tech company",6 months,
Sophie_2019_1,well being,well being enhancement,Sophie Bostock,2019,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",United Kingdom,onsite employees,randomized control trial,3,mindfulness meditation program delivered via a smartphone application,Secondary,Wait list control,Wave 1 = 128; Wave 2 = 123; Wave 3 = 105,Wave 1 = 110; Wave 2 = 106; Wave 3 = 81,Partial Eta squared,0.037,not mentioned,not mentioned,p = .003,NA,NA,NA,NA,47.6,49.9,46.9,47,Warwick Edinburgh Mental Well-being Scale," two large United Kingdom companies - pharmaceutical firm, and a high-tech company",6 months,
Blank_2018_4,Recovery,,Cornelia Blank,2018,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,Middle Managers,"randomized, controlled, two-armed intervention study","5 [Pre-Post Vacation, 15 days (follow-up (FU) 1), 30 days (FU 2), and 45 days (FU 3)]","immediate and long-term effects of a short vacation (four nights) on well-being and perceived stress - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a Tyrolean Wellness Hotel.",Secondary,Control,"Wave 1 = 20; Wave 2 = 20 (FU 1, 2, 3 = 40)","Wave 1 = 20; Wave 2 = 20 (FU 1, 2, 3 = 40)",Eta squared,0.41,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,3.2,3.5,3.2,3.7,"German version of the “Questionnaire for Recuperation and Strain”—the EBF-B (Erholungs-Belastungs-Fragebogen) - five subtests of recovery (success, sleep, social-, somatic- and general recovery).","Corporate Companies - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a TyroleanWellness Hotel.",6 weeks,
Blank_2018_3,Strain,,Cornelia Blank,2018,employees from two large United Kingdom companies,not mentioned,Middle Managers,"randomized, controlled, two-armed intervention study","5 [Pre-Post Vacation, 15 days (follow-up (FU) 1), 30 days (FU 2), and 45 days (FU 3)]","immediate and long-term effects of a short vacation (four nights) on well-being and perceived stress - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a Tyrolean Wellness Hotel.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 20; Wave 2 = 20,Eta squared,0.83,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,1.9,0.7,1.9,1,"German version of the “Questionnaire for Recuperation and Strain”—the EBF-B (Erholungs-Belastungs-Fragebogen) - seven different subtests of strain (general-, emotional-, social- and somatic strain, conflict, fatigue, and lack of energy)","Corporate Companies - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a TyroleanWellness Hotel.",6 weeks,
Blank_2018_2,Well-Being,,Cornelia Blank,2018,employees from two large United Kingdom companies,not mentioned,Middle Managers,"randomized, controlled, two-armed intervention study","5 [Pre-Post Vacation, 15 days (follow-up (FU) 1), 30 days (FU 2), and 45 days (FU 3)]","immediate and long-term effects of a short vacation (four nights) on well-being and perceived stress - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a Tyrolean Wellness Hotel.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 20; Wave 2 = 20,Eta squared,0.43,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,47.3,59.1,42.8,49.9,"To assess well-being, the German Fragebogen zum Allgemeinen Wohlbefinden (FAHW) was used","Corporate Companies - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a TyroleanWellness Hotel.",6 weeks,
Blank_2018_1,Perceived Stress,Perceived Stress reduction,Cornelia Blank,2018,employees from two large United Kingdom companies,not mentioned,Middle Managers,"randomized, controlled, two-armed intervention study","5 [Pre-Post Vacation, 15 days (follow-up (FU) 1), 30 days (FU 2), and 45 days (FU 3)]","immediate and long-term effects of a short vacation (four nights) on well-being and perceived stress - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a Tyrolean Wellness Hotel.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 20; Wave 2 = 20,Eta squared,0.25,not mentioned,not mentioned,p < .01,NA,NA,NA,NA,45.3,36.2,42.4,35.5,Perceived Stress Questionnaire,"Corporate Companies - the short vacation was operationalized as a long weekend (four full days, Thursday to Sunday with the arrival on Wednesday evening) in a TyroleanWellness Hotel.",6 weeks,
Bartlett_2016_4b,Mindfulness,Mindfulness enhancement,Larissa Bartlett,2017,Middle Managers from different Companies,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,F value,13.68,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,3.41,4.05,3.62,3.61,Mindful Attention Awareness Scale,"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Bartlett_2016_4a,Mindfulness,Mindfulness enhancement,Larissa Bartlett,2017,Middle Managers from different Companies,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,Cohen's d,0.57,0.06,1.08,not mentioned,NA,NA,NA,NA,3.41,4.05,3.62,3.61,Mindful Attention Awareness Scale,"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Bartlett_2016_3b,Health-related quality of life,Health-related quality of life enhancement,Larissa Bartlett,2017,Middle Managers from different Companies,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,F value,10.17,not mentioned,not mentioned,p = .003,NA,NA,NA,NA,0.69,0.82,0.72,0.74,Assessment of Quality of Life (AQoL-4D),"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Bartlett_2016_3a,Health-related quality of life,Health-related quality of life enhancement,Larissa Bartlett,2017,Middle Managers from different Companies,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,Cohen's d,0.51,0,1.01,not mentioned,NA,NA,NA,NA,0.69,0.82,0.72,0.74,Assessment of Quality of Life (AQoL-4D),"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Bartlett_2016_2b,Pstchological Distress,Pstchological Distress reduction,Larissa Bartlett,2017,Tasmanian State Service Employees,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,F value,16.71,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,20.9,15.4,19.33,18.89,Kessler-10 scale (K10),"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Bartlett_2016_2a,Pstchological Distress,Pstchological Distress reduction,Larissa Bartlett,2017,Tasmanian State Service Employees,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,Cohen's d,0.61,0.1,1.11,not mentioned,NA,NA,NA,NA,20.9,15.4,19.33,18.89,Kessler-10 scale (K10),"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Bartlett_2016_1b,Perceived Stress  ,Perceived Stress reduction     ,Larissa Bartlett,2017,Tasmanian State Service Employees,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,F value,26.34,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,39.35,31.55,38.52,38.23,Perceived stress was measured using the Perceived Stress Scale (PSS-14).,"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Bartlett_2016_1a,Perceived Stress  ,Perceived Stress reduction     ,Larissa Bartlett,2017,Tasmanian State Service Employees,not mentioned,"professional, managerial, administrative,
front-line, and support service roles",parallel group randomized controlled trial,2 (pre-post intervention),"5-week Mindfulness atWork Program - The program covered the physiology of stress, skills
for identifying and intercepting personal stress responses, mindfully working with difficult emotions and people, and dealing with challenges and changes at work.",Secondary,Control,Wave 1 = 20; Wave 2 = 20,Wave 1 = 100; Wave 2 = 66,Cohen's d,0.97,0.45,1.49,not mentioned,NA,NA,NA,NA,39.35,31.55,38.52,38.23,Perceived stress was measured using the Perceived Stress Scale (PSS-14).,"There are 28,000 employees in the Tasmanian State Service - line agencies (health, education, transport, primary industries, infrastructure, environment, and arts) and core agencies (policy, treasury, and economic growth)",6 weeks,
Barrech_2018_2,Depression,Depression reduction,Amira Barrech,2018,Tasmanian State Service Employees,Switzerland,Supervisors and team members,Randomized control design,"3 (baseline, 3-months post training IG, 3-months post training CG)",participants were educated on bio-logical fundamentals of chronic stress and its relationship with health as well on the important role of social support in this context,Secondary,Wait list Control,Wave 1 = 77; Wave 2 = 0 Wave 3 = 71,Wave 1 = 0; Wave 2 = 32; Wave 3 = 32,,0.32,not mentioned,not mentioned,0.551,NA,NA,NA,NA,4.49,not mentioned,3.94,not mentioned,German version of the Hospital Anxiety and Depression Scale,"production site of a multinational healthcare provider in Switzerland which was facing several organizational changes. Approximately, 12 months prior to the first data collection, management had announced a cost-cutting programme, followed by the announcement of a number of reorganizational projects 6 months later. While employees were ensured that there would be no lay-offs in their plant as a result of these developments, there were indeed lay-offs in other sections of the company. The impending organizational changes were, therefore, anticipated to induce both quantitative as well as qualitative job insecurity at the plant",3 months,
Barrech_2018_1,Anxiety,Anxiety reduction,Amira Barrech,2018,Tasmanian State Service Employees,Switzerland,Supervisors and team members,Randomized control design,"3 (baseline, 3-months post training IG, 3-months post training CG)",participants were educated on bio-logical fundamentals of chronic stress and its relationship with health as well on the important role of social support in this context,Secondary,Wait list Control,Wave 1 = 77; Wave 2 = 0 Wave 3 = 71,Wave 1 = 0; Wave 2 = 32; Wave 3 = 32,Unstandardized B value,0.65,not mentioned,not mentioned,0.336,NA,NA,NA,NA,5.89,not mentioned,6.47,not mentioned,German version of the Hospital Anxiety and Depression Scale,"production site of a multinational healthcare provider in Switzerland which was facing several organizational changes. Approximately, 12 months prior to the first data collection, management had announced a cost-cutting programme, followed by the announcement of a number of reorganizational projects 6 months later. While employees were ensured that there would be no lay-offs in their plant as a result of these developments, there were indeed lay-offs in other sections of the company. The impending organizational changes were, therefore, anticipated to induce both quantitative as well as qualitative job insecurity at the plant",3 months,
Chopp-Hurley_2017_2,Depressive symptoms,Depressive symptoms reduction,Jaclyn N. Chopp-Hurley,2017,employees (aged 18–70 years) of a large urban medical center,,Employees from a variety of occupations at McMaster University in Hamilton,Randomised control design,2 (baseline and followup),12-week workplace exercise program,Secondary,Control,Wave 1 = 12; Wave 2 = 11,Wave 1 = 12; Wave 2 = 9,cohens d,1.07,,,p = .006,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Center for Epidemiologic Studies Depression Scale,"Participants in the exercise group were asked to attend three of four supervised exercise classes offered weekly for 12 weeks at McMaster University, within the oncampus sport and recreation facility",12-week,
Chopp-Hurley_2017_1,Resilience,Resilience enhancement,Jaclyn N. Chopp-Hurley,2017,employees (aged 18–70 years) of a large urban medical center,,Employees from a variety of occupations at McMaster University in Hamilton,Randomised control design,2 (baseline and followup),12-week workplace exercise program,Secondary,Control,Wave 1 = 12; Wave 2 = 11,Wave 1 = 12; Wave 2 = 9,,0.56,,,p = .292,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Resilience Scale 25 Survey,"Participants in the exercise group were asked to attend three of four supervised exercise classes offered weekly for 12 weeks at McMaster University, within the oncampus sport and recreation facility",12-week,
Cheng_2015_2b,Perceived Stress,Perceived Stress reduction,Sheung-Tak Cheng,2015,employees (aged 18–70 years) of a large urban medical center,Chinese,"Full-time  professional workers (physicians, nurses, physiotherapists, and occupational therapists)",doubleblind randomized controlled trial,"3 (baseline, posttreatment, and 3-month follow-up)","This study investigated whether directing practitioners’
attention to thankful events in work could reduce stress and depressive symptoms",secondary,"Control, Gratitude, Hassle",Wave 1 = 68; Wave 2 = 68; Wave 3 =  65,Wave 1 = 34; Wave 2 = 34; Wave 3 =  34,Mean Difference,-2.65,,,p < .001,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Chinese version of 10-item Perceived Stress Scale,5 public hospitals,4 months,
Cheng_2015_2a,Perceived Stress,Perceived Stress reduction,Sheung-Tak Cheng,2015,,Chinese,"Full-time  professional workers (physicians, nurses, physiotherapists, and occupational therapists)",doubleblind randomized controlled trial,"3 (baseline, posttreatment, and 3-month follow-up)","This study investigated whether directing practitioners’
attention to thankful events in work could reduce stress and depressive symptoms",secondary,"Control, Gratitude, Hassle",Wave 1 = 68; Wave 2 = 68; Wave 3 =  65,Wave 1 = 34; Wave 2 = 34; Wave 3 =  34,Cohens d,-0.95,,,p < .001,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Chinese version of 10-item Perceived Stress Scale,5 public hospitals,4 months,
Cheng_2015_1b,Depressive Symptoms,Depressive Symptoms reduction,Sheung-Tak Cheng,2015,older university employees with knee and/or hip osteoarthritis,Chinese,"Full-time  professional workers (physicians, nurses, physiotherapists, and occupational therapists)",doubleblind randomized controlled trial,"3 (baseline, posttreatment, and 3-month follow-up)","This study investigated whether directing practitioners’
attention to thankful events in work could reduce stress and depressive symptoms",secondary,"Control, Gratitude, Hassle",Wave 1 = 68; Wave 2 = 68; Wave 3 =  65,Wave 1 = 34; Wave 2 = 34; Wave 3 =  34,Mean Difference,-1.5,,,p = .048,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Chinese version of 10-item version of the Center for Epidemiologic Studies-Depression Scale,5 public hospitals,4 months,
Cheng_2015_1a,Depressive Symptoms,Depressive Symptoms reduction,Sheung-Tak Cheng,2015,older university employees with knee and/or hip osteoarthritis,Chinese,"Full-time  professional workers (physicians, nurses, physiotherapists, and occupational therapists)",doubleblind randomized controlled trial,"3 (baseline, posttreatment, and 3-month follow-up)","This study investigated whether directing practitioners’
attention to thankful events in work could reduce stress and depressive symptoms",secondary,"Control, Gratitude, Hassle",Wave 1 = 68; Wave 2 = 68; Wave 3 =  65,Wave 1 = 34; Wave 2 = 34; Wave 3 =  34,Cohens d,-0.49,,,p = .048,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Chinese version of 10-item version of the Center for Epidemiologic Studies-Depression Scale,5 public hospitals,4 months,
Cheema_2011_3,State Anxiety, State Anxiety reduction,Birinder S Cheema,2011,Medical Practitioners,Australian,full-time academic or general staff office position, parallel-arm randomized controlled trial,3 (pre-post intervention and 6 month followup),"10-week, worksite-based yoga program delivered during lunch hour - The yoga sessions will be group-based,
prescribed three times per week during lunch hour
(approximately 50 minutes per session), and will be led
by an experienced yoga instructor from Yoga Synergy Pty
Ltd (Sydney, Australia)",Secondary,Control,11,17,t value - Post-hoc analyses were conducted to evaluate the effect of adherence on adaptation,,,,p = .02,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,State-Trait Anxiety Inventory (STAI),"Post-hoc analyses were conducted to evaluate the effect
of adherence on adaptation",10 weeks,
Cheema_2011_2,State Anxiety, State Anxiety reduction,Birinder S Cheema,2011,Medical Practitioners,Australian,full-time academic or general staff office position, parallel-arm randomized controlled trial,3 (pre-post intervention and 6 month followup),"10-week, worksite-based yoga program delivered during lunch hour - The yoga sessions will be group-based,
prescribed three times per week during lunch hour
(approximately 50 minutes per session), and will be led
by an experienced yoga instructor from Yoga Synergy Pty
Ltd (Sydney, Australia)",Secondary,Control,Wave 1 = 18; Wave 2 = 17; Wave 3 =  17,Wave 1 = 19; Wave 2 = 17; Wave 3 = 17,t value,0.04,,,p = 0.25,NA,NA,NA,NA,32.7,27.9,36.1,32.1,State-Trait Anxiety Inventory (STAI),"The yoga sessions will be group-based, prescribed three times per week during lunch hour",10 weeks,
Cheema_2011_1,Trait Anxiety,Trait Anxiety reduction,Birinder S Cheema,2011,Medical Practitioners,Australian,full-time academic or general staff office position, parallel-arm randomized controlled trial,3 (pre-post intervention and 6 month followup),"10-week, worksite-based yoga program delivered during lunch hour - The yoga sessions will be group-based,
prescribed three times per week during lunch hour
(approximately 50 minutes per session), and will be led
by an experienced yoga instructor from Yoga Synergy Pty
Ltd (Sydney, Australia)",Secondary,Control,Wave 1 = 18; Wave 2 = 17; Wave 3 =  17,Wave 1 = 19; Wave 2 = 17; Wave 3 = 17,t value,0,,,p = 0.96,NA,NA,NA,NA,36.1,33.1,38.6,35.3," State-Trait Anxiety Inventory (STAI),","The yoga sessions will be group-based, prescribed three times per week during lunch hour",10 weeks,
